XRF; Hg;261630;113220;156825;237532;0;407362;167918;48195;40928;28688;196605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193928;0;408128;0;139612;0;0;75352;0;0;0;0;0;0;0;0;0;0;50490;131962;0;92182;0;0;0;0;0;0;0;0;825435;425722;0;0;0;0;0;0;0;0;0;227205;0;0;0;349988;0;0;0;0;0;0;0;0;0;40545;372555;0;0;0;0;65025;80708;0;233708;334688;112455;80325;153000;0;132728;0;374468;0;0;207315;231030;400095;0;0;191250;333540;0;0;0;35955;107100;193545;0;131580;432990;186278;737460;97920;0;235620;0;89122;120105;81090;165240;145732;828112;0;0;0;139995;3081802;640688;0;0;332010;0;0;0;0;0;120870;38250;135405;796365;0;88740;0;0;136170;0;0;92565;94095;0;34425;602438;367582;0;0;0;0;0;0
XRF; K;1945012;2436908;1817258;1408748;1238535;2092658;1692180;2592968;7297718;5239485;3029400;4505085;4375035;4142475;2732580;1820318;913028;1368202;4096192;4796550;4166572;3670470;5232600;4839008;3440970;1153620;1246950;1556392;1020128;1455030;3093278;4334872;3507525;5197028;4732290;4246132;2972790;1124168;865598;1892228;2448765;1720485;4303890;3248190;3969202;4401810;5423468;2890935;2428110;886635;2223855;2871428;3591675;4227390;3349170;2334398;2140088;3835710;3775658;3114698;3047760;1429785;3076065;2517232;2981205;3881228;3663585;5932958;7242638;3750412;1625242;1282140;2850008;4477928;2801430;3534300;2899350;5576850;4822178;5215005;6750742;1482570;4303890;6063390;5623132;808988;1520438;3987180;3881610;926415;1481422;1855125;3206498;2360790;3971498;1061055;1594642;1556010;1215202;5284238;3016012;1997798;1686825;3141090;1292850;2242598;1337985;1280610;1009418;893902;5268172;5379098;1222088;2317185;1812668;2488928;2281612;901552;999855;3620362;2784982;4840920;1269518;1407218;2433465;4084718;4684860;1008652;8323965;717952;6028582;1713218;2942955;5816295;8084902;3432555;2627010;4799228;1455412;6644790;1721250;7419735;1248480;3075300;2314890;2527178;3327750;1957252;2047140;1443172;7147778;1150560;3287588;1469182;1912118;1383502;1180778;984172;1654312;1452352;1683382;1396890;3127320;3790575;3374415
XRF; Mn;218408;121252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628830;0;0;0;0;0;0;0;0;0;0;462060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108248;199282;0;0;0;134640;154530;120488;0;138465;212670;314798;0;0;0;0;0;0;0;0;224910;0;286110;0;192015;317858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693855;0;0;0;0;0;0;0;0;0;0;161798;1214438;110925;162562;0;0;0;0;0;0;0;135405;365288;94095;0;0;0;0;0;159120;0;0;0;445995;0;0;1373558;806310;0;0;0;0;0;261630
XRF; Ni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;992205;0;0;0;0;0;0;0;0;82620;0;778770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312502;0;0;197370;0;0;0;0;0;0;149940;331245;0;0;0;0;0;0;0;0;0;385942;0;0;0;0;442552;0;567248;0;0;0;0;0;960075;0;0;247478;0;465885;211905;0;0;0;61582;0;0;0;0;0;898110;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XRF; Pb;34288064;32586322;48767984;60887116;238369792;55043664;49638556;30800812;19813118;21300278;64432508;141798112;128321480;218485920;169756560;266532880;427281952;314712960;214310928;90954288;128253400;75111144;86943776;183681472;212134112;260373488;262390416;69705272;293125824;183231264;200382192;63845368;75036176;131452624;170609920;256424560;172438656;398897408;251310912;340408544;269070784;269353440;96669224;62758688;85023248;150357312;151404208;202728832;294177312;219492272;282563456;231144752;217407264;139330208;86431232;53661308;232157984;191186128;262874272;285322816;275255424;268177632;219823520;305767072;157831360;72981768;137767328;160914304;161652144;249559072;270851680;312718240;220841344;161866352;286306208;93691464;100914592;34878264;93788232;60465216;41193336;81400208;82600496;89213920;80389640;236041904;79017616;79846872;46098520;147248352;170296272;144542160;136954512;212540720;181506192;289626336;253068128;124145344;165036896;76795288;176596432;138310848;129911920;215424000;229239904;166285760;219195072;234917344;143017904;372826944;68151168;119753480;167699856;97248712;148414208;171387536;155321392;344156288;179854944;91280568;135689968;90026728;119744688;237361520;152197904;116636112;113600208;384051040;107089288;323881120;87058144;118398288;127641776;26308350;117781312;175316192;124909584;237534032;401099072;86631280;147890560;85961904;89272440;100713400;59184224;90326224;266153824;157198320;229133184;382038336;91515424;251324688;181671440;65054452;71451768;63890888;56882720;124700352;158399744;380246304;372351904;384252608;184680944;79589456;126288496
XRF; Sb;56228;73440;132728;191250;498015;446760;251302;83002;39398;34808;139230;275782;237915;271958;280755;485010;761558;590962;279990;259718;283432;249772;224145;203872;266220;499545;478890;572985;539708;440640;335452;241358;265072;324742;244800;353048;291465;696915;513698;585990;569925;549652;366052;227970;250538;230265;227970;351135;518670;433372;553095;422662;385178;368730;298732;160268;382500;278842;395505;382118;409275;457088;346928;470092;501840;228352;301792;204255;183982;342720;287640;477360;300645;215348;328568;288788;289552;109778;275400;202725;144968;369878;281138;236385;226822;786802;249008;188190;151852;373702;254362;219555;190485;285345;185895;394740;367582;354960;506812;234472;309442;207315;177480;247095;334305;192780;314032;450202;620032;737460;219938;157208;286492;116662;221468;263160;197370;630742;284962;287640;247478;238298;162945;406215;172125;140378;123165;532822;110925;535118;209228;333540;264308;62348;125460;315562;165622;243652;583312;78030;238680;126608;249390;200812;187042;116662;435285;236002;309060;605880;80325;405832;310208;207698;165240;148028;154530;149558;213052;572602;610470;535882;241740;208080;323212
XRF; Se;29452;29070;61965;82620;236768;50490;53932;36338;16065;13770;40928;70380;91418;99068;194692;196988;349988;291848;178245;92565;112455;70762;58140;138082;153000;208845;275018;87975;234090;210375;176715;59288;66938;84150;134640;173655;192780;261630;199665;302175;266602;274635;87592;51255;70762;110925;135788;218790;284580;256275;221468;211140;192780;63878;58905;76118;286110;199665;246712;261248;358785;315945;244800;312120;133110;61582;64642;124312;141142;208462;174420;302558;249772;151470;194692;75735;94860;32512;74970;28688;43222;85298;93712;69232;60052;174420;76118;63878;52402;146880;175950;118958;138082;178245;121635;214582;196222;97155;159120;65025;178628;145732;144585;244035;208845;139230;211905;218025;123548;258952;61965;118192;171360;125842;153765;164092;149940;286110;190868;78412;122018;60818;126608;258952;192398;84532;111690;328950;58905;254362;86828;107482;245182;160650;105188;136935;139612;206550;231412;76118;166770;75352;43222;53932;64260;92948;220702;176332;193162;297968;48578;198135;110925;39398;64260;72292;69615;135405;152235;218790;306000;298350;108630;77265;93330
XRF; Sn;34808;52402;78030;103275;351135;105570;86828;53168;185512;129668;125460;169448;173272;192015;198135;353048;548122;430695;200430;163710;177862;156060;149940;148792;195458;342338;326655;146498;350752;282285;239445;162562;154148;209228;165622;255128;202725;493042;374850;417308;3362940;523260;218408;139230;121635;161798;150322;258952;365288;295672;386325;688882;255510;243652;181305;96008;252068;190868;282668;268515;287258;302558;258952;322448;301410;143438;182452;135022;211522;1308532;468945;1082475;198518;145732;233708;170595;165622;64642;154530;118192;90270;222998;182452;145350;132728;472005;156825;110160;91800;248242;177480;148410;120105;201195;130432;255510;268898;226822;292612;150322;196605;134640;121635;183600;227588;130050;199282;306382;376380;500692;133492;112838;214200;85298;163328;182070;126990;444848;201960;208845;157972;168682;114368;273488;112838;90652;84532;395122;81090;393210;130432;204255;152618;40928;87592;1390005;117428;185895;4166190;60052;173272;82238;159120;127372;125842;471240;4847040;175950;218408;2238390;58140;274635;2645370;139995;110160;115898;142290;109395;148792;680850;529762;535882;169830;132728;195840
XRF; Ti;62348;139230;68850;59670;47430;107865;629978;177098;1279080;717952;429548;206932;228735;240210;143055;66172;62348;62348;168300;313650;187808;156060;302175;273870;116280;177480;36720;430312;30600;65408;127372;191632;173655;276165;245182;49725;102510;48578;43605;63112;71145;50108;195840;153382;203490;283050;67320;89888;92565;0;82238;110542;163328;183982;151852;104422;52785;171360;158738;93330;1262250;222998;150705;96008;127372;162945;196988;259718;362228;150322;182835;66555;126990;587520;93712;106718;83768;261248;229882;255510;312502;75352;225292;289552;273870;56992;71528;212670;196988;84150;69232;48578;190868;35572;226822;64260;110542;60818;40162;238298;58140;67702;66938;53550;36338;48195;147262;66555;0;26010;191250;624622;0;0;80325;47048;50872;30218;104805;0;63878;109395;82620;73440;24862;180158;243652;44752;125842;37485;0;30600;631508;651780;217260;218790;80325;228352;41310;367965;48578;158738;37485;43605;79178;185512;247095;187425;227588;35190;410040;120105;199665;0;144202;56228;85298;232560;85298;24098;22950;26010;218790;257805;284198
XRF; Zn;65408;50872;41310;58905;138465;50490;1180395;60818;1311210;1191488;1088978;77648;146115;206168;325890;105188;196605;182452;87975;60435;60435;57375;74205;148792;194310;1156298;246712;509490;263925;148792;135405;55462;53550;77265;102128;180922;91035;182070;278078;279608;87210;192015;84915;47048;286492;105188;96390;95625;105952;98685;135405;132728;114750;76500;58905;86828;120870;147645;83385;208080;836910;174038;104040;87592;81855;41310;74970;80325;58522;135022;136170;129285;158355;207698;131580;42840;97920;18360;62730;42840;0;58140;32512;76118;45900;133875;60435;89505;31748;104422;125078;127372;108248;129285;114750;192015;110542;114750;115898;34042;147262;69232;135405;141908;103658;123548;191632;145350;83002;201960;74205;305235;142290;57758;84915;152235;113220;137700;72292;51638;170978;63878;128520;168300;89122;130050;176715;206550;82238;158355;57758;92565;528998;105952;152618;116280;89505;271192;170978;140760;58905;95625;57758;126225;31365;89122;121252;108630;146115;177098;173272;117810;96772;41310;71910;50490;49725;198518;96772;174420;238680;135405;135405;49725;99450
